Risk_Item_ID,Year,Loss_Cost
792,1969,17.969999999999999
792,1970,19.699999999999999
792,1971,12.359999999999999
792,1972,16.98
792,1973,19.550000000000001
792,1974,18.02
792,1975,14.09
792,1976,19.359999999999999
792,1977,16.140000000000001
792,1978,15.25
792,1979,14.539999999999999
792,1980,19.91
792,1981,12.19
792,1982,8.5800000000000001
792,1983,9.3399999999999999
792,1984,21.149999999999999
792,1985,4.5999999999999996
792,1986,16.059999999999999
792,1987,9.4700000000000006
792,1988,6.6799999999999997
792,1989,11.109999999999999
792,1990,16.300000000000001
792,1991,23.989999999999998
792,1992,28.469999999999999
792,1993,13.359999999999999
792,1994,27.48
792,1995,17.27
792,1996,11.59
792,1997,5.75
792,1998,9.8800000000000008
792,1999,17.75
792,2000,11.16
792,2001,27.350000000000001
792,2002,17.34
792,2003,23.420000000000002
792,2004,11.09
792,2005,12.24
792,2006,32.409999999999997
792,2007,18.239999999999998
792,2008,17.73
792,2009,26.359999999999999
792,2010,23.629999999999999
792,2011,12.880000000000001
792,2012,18.23
792,2013,7.3399999999999999
793,1969,8.6300000000000008
793,1970,8.3599999999999994
793,1971,15.81
793,1972,10.74
793,1973,17.510000000000002
793,1974,17.93
793,1975,18.5
793,1976,11.630000000000001
793,1977,2.3399999999999999
793,1978,14.609999999999999
793,1979,28.670000000000002
793,1980,19.620000000000001
793,1981,6.7599999999999998
793,1982,22.280000000000001
793,1983,15.34
793,1984,22.280000000000001
793,1985,9.1899999999999995
793,1986,22.199999999999999
793,1987,21.73
793,1988,14.83
793,1989,4.2000000000000002
793,1990,16.32
793,1991,20
793,1992,12.529999999999999
793,1993,8.7300000000000004
793,1994,15.82
793,1995,10.130000000000001
793,1996,12.039999999999999
793,1997,5.2000000000000002
793,1998,16.760000000000002
793,1999,10.67
793,2000,15.58
793,2001,25.5
793,2002,20.43
793,2003,13.93
793,2004,17.879999999999999
793,2005,2.5800000000000001
793,2006,9.8399999999999999
793,2007,10.48
793,2008,9.6600000000000001
793,2009,16.329999999999998
793,2010,8.9499999999999993
793,2011,16.640000000000001
793,2012,15.289999999999999
793,2013,6.1500000000000004
796,1969,6.6200000000000001
796,1970,20.149999999999999
796,1971,12.300000000000001
796,1972,16.16
796,1973,17.079999999999998
796,1974,24.859999999999999
796,1975,12.24
796,1976,23.309999999999999
796,1977,11.23
796,1978,20.050000000000001
796,1979,30.100000000000001
796,1980,20.739999999999998
796,1981,15.039999999999999
796,1982,31.190000000000001
796,1983,13.99
796,1984,29.510000000000002
796,1985,9.2699999999999996
796,1986,27.57
796,1987,21.489999999999998
796,1988,15.66
796,1989,8.3599999999999994
796,1990,17.559999999999999
796,1991,29.73
796,1992,27.559999999999999
796,1993,7.6100000000000003
796,1994,22.73
796,1995,18.16
796,1996,14.85
796,1997,16.469999999999999
796,1998,16.670000000000002
796,1999,13.19
796,2000,22.170000000000002
796,2001,19.149999999999999
796,2002,31.379999999999999
796,2003,24.960000000000001
796,2004,19.699999999999999
796,2005,11.609999999999999
796,2006,13.65
796,2007,4.71
796,2008,16.190000000000001
796,2009,29.390000000000001
796,2010,19.699999999999999
796,2011,13.5
796,2012,11.640000000000001
796,2013,13.470000000000001
797,1969,13.6
797,1970,6.3399999999999999
797,1971,19.16
797,1972,8.7599999999999998
797,1973,18.100000000000001
797,1974,13.77
797,1975,3.5600000000000001
797,1976,6.3899999999999997
797,1977,1.8100000000000001
797,1978,10.49
797,1979,27.670000000000002
797,1980,10.69
797,1981,2.98
797,1982,38.770000000000003
797,1983,13.99
797,1984,16.390000000000001
797,1985,5.7300000000000004
797,1986,28.460000000000001
797,1987,23.140000000000001
797,1988,18.420000000000002
797,1989,2.4500000000000002
797,1990,13.07
797,1991,7.2199999999999998
797,1992,17.539999999999999
797,1993,7.7199999999999998
797,1994,13.66
797,1995,9.7300000000000004
797,1996,6.6500000000000004
797,1997,4.7400000000000002
797,1998,11.130000000000001
797,1999,10.74
797,2000,19.879999999999999
797,2001,26.02
797,2002,12.220000000000001
797,2003,10.91
797,2004,18.91
797,2005,8.7300000000000004
797,2006,7.1399999999999997
797,2007,2.6099999999999999
797,2008,6.2199999999999998
797,2009,19.879999999999999
797,2010,2.9699999999999998
797,2011,15.199999999999999
797,2012,4.6699999999999999
797,2013,8.7100000000000009
799,1969,10.52
799,1970,2.9399999999999999
799,1971,23.690000000000001
799,1972,8.6400000000000006
799,1973,17.59
799,1974,28.079999999999998
799,1975,12.140000000000001
799,1976,18.460000000000001
799,1977,8.5399999999999991
799,1978,20.629999999999999
799,1979,19.289999999999999
799,1980,19.199999999999999
799,1981,19.52
799,1982,14.619999999999999
799,1983,9.8300000000000001
799,1984,16.379999999999999
799,1985,8.8000000000000007
799,1986,14.99
799,1987,12.42
799,1988,14.85
799,1989,9.3699999999999992
799,1990,15.67
799,1991,27.969999999999999
799,1992,15.75
799,1993,4.8899999999999997
799,1994,23.57
799,1995,21.210000000000001
799,1996,13.18
799,1997,10.449999999999999
799,1998,11.73
799,1999,4.1200000000000001
799,2000,22.52
799,2001,35.420000000000002
799,2002,19.449999999999999
799,2003,13.08
799,2004,14.960000000000001
799,2005,6.7699999999999996
799,2006,27.77
799,2007,8.3399999999999999
799,2008,20.760000000000002
799,2009,30.57
799,2010,11.119999999999999
799,2011,12.67
799,2012,11.24
799,2013,13.220000000000001
8472,1969,23.07
8472,1970,25.859999999999999
8472,1971,13.210000000000001
8472,1972,23.050000000000001
8472,1973,20.5
8472,1974,17.149999999999999
8472,1975,16.82
8472,1976,25.41
8472,1977,20.390000000000001
